species,long,short,version,platform,type,folder,bioproject,species2,base,nseq,size,libray,type,model,taxon,coverage,down,dummy,genomesize,host,inref,min_read,plastid,range1,range2,range3,dimred,readsel,bench_ptgaul,bench_pmat,bench_tippo,bench_oatk,ptgaul_ref,mt_ref,random,random_seed,status
Lablab_purpureus-0,SRR33468938,NA,3,PACBIO_SMRT,NA,Lablab_purpureus,PRJNA1260078,Lablab_purpureus,33328754150,16519,11431,WGS,GENOMIC,Sequel II,Lablab purpureus,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Lablab purpureus,845,845,done
Arctium_lappa-0,SRR15927839,NA,3,PACBIO_SMRT,NA,Arctium_lappa,PRJNA764011,Arctium_lappa,37452221074,15328,26375,WGS,GENOMIC,Sequel II,Arctium lappa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,umap,manual,160000,0.1,onthq,0,NA,Arctium lappa,759,759,done
Salix_arbutifolia-0,SRR17272048,NA,3,PACBIO_SMRT,NA,Salix_arbutifolia,PRJNA788330,Salix_arbutifolia,34224559124,14709,23336,WGS,GENOMIC,Sequel II,Salix arbutifolia,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Salix arbutifolia,717,717,done
Tuctoria_greenei-0,SRR29680270,NA,3,PACBIO_SMRT,NA,Tuctoria_greenei,PRJNA1126703,Tuctoria_greenei,59325985626,13764,36322,WGS,GENOMIC,Sequel,IIe Tuctoria greenei,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Tuctoria greenei,431,431,done
Cichorium_endivia-0,SRR17658307,NA,3,PACBIO_SMRT,NA,Cichorium_endivia,PRJNA797903,Cichorium_endivia,33681517325,16227,25075,WGS,GENOMIC,Sequel II,Cichorium endivia,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Cichorium endivia,251,251,done
Lathyrus_sativus-0,SRR26116103,NA,3,PACBIO_SMRT,NA,Lathyrus_sativus,PRJNA1019112,Lathyrus_sativus,94618805170,16658,59743,WGS,GENOMIC,Sequel II,Lathyrus sativus,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Lathyrus sativus,381,381,done
Sequoia_sempervirens-0,SRR11211695,NA,3,PACBIO_SMRT,NA,Sequoia_sempervirens,PRJNA606797,Sequoia_sempervirens,30633954289,24127,25181,WGS,GENOMIC,Sequel II,Sequoia sempervirens,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Sequoia sempervirens,805,805,done
Aristolochia_californica-0,SRR25496339,NA,3,PACBIO_SMRT,NA,Aristolochia_californica,PRJNA998869,Aristolochia_californica,32493649311,13278,19564,WGS,GENOMIC,Sequel II,Aristolochia californica,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Aristolochia californica,975,975,done
Breynia_androgyna-0,SRR25111202,NA,3,PACBIO_SMRT,NA,Breynia_androgyna,PRJNA990470,Breynia_androgyna,29786129665,16413,21966,WGS,GENOMIC,Sequel II,Breynia androgyna,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Breynia androgyna,731,731,done
Herpetospermum_pedunculosum-0,SRR22426905,NA,3,PACBIO_SMRT,NA,Herpetospermum_pedunculosum,PRJNA906014,Herpetospermum_pedunculosum,22024877154,15201,13191,WGS,GENOMIC,Sequel II,Herpetospermum pedunculosum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Herpetospermum pedunculosum,545,545,done
Fagopyrum_tataricum-0,SRR23681790,NA,3,PACBIO_SMRT,NA,Fagopyrum_tataricum,PRJNA935840,Fagopyrum_tataricum,34136386202,13798,22657,WGS,GENOMIC,Sequel,Fagopyrum tataricum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Fagopyrum tataricum,131,131,done
Pisum_sativum-0,ERR13154028,NA,3,PACBIO_SMRT,NA,Pisum_sativum,PRJEB75659,Pisum_sativum,34400697005,15906,23283,WGS,GENOMIC,Sequel II,Pisum sativum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Pisum sativum,569,569,done
Canavalia_gladiata-0,SRR25501073,NA,3,PACBIO_SMRT,NA,Canavalia_gladiata,PRJNA1001638,Canavalia_gladiata,67153848829,12780,38977,WGS,GENOMIC,Sequel II,Canavalia gladiata,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Canavalia gladiata,783,783,done
Vaccinium_bracteatum-0,SRR29004627,NA,3,PACBIO_SMRT,NA,Vaccinium_bracteatum,PRJNA1110808,Vaccinium_bracteatum,56139926112,17655,43627,WGS,GENOMIC,Sequel II,Vaccinium bracteatum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Vaccinium bracteatum,517,517,done
Biancaea_sappan-0,SRR26113665,NA,3,PACBIO_SMRT,NA,Biancaea_sappan,PRJNA1005083,Biancaea_sappan,82242684344,18419,34689,WGS,GENOMIC,Sequel II,Biancaea sappan,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Biancaea sappan,989,989,done
Quercus_gilva-0,SRR20725007,NA,3,PACBIO_SMRT,NA,Quercus_gilva,PRJNA833760,Quercus_gilva,30764912557,15372,20751,WGS,GENOMIC,Sequel II,Quercus gilva,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,180000,0.1,onthq,30,NA,Quercus gilva,277,277,done
Lolium_multiflorum-0,SRR30553869,NA,3,PACBIO_SMRT,NA,Lolium_multiflorum,PRJNA1156633,Lolium_multiflorum,97564342628,15768,66263,WGS,GENOMIC,Sequel II,Lolium multiflorum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,180000,0.1,onthq,30,NA,Lolium multiflorum,149,149,done
Citrus_sinensis-0,SRR28327858,NA,3,PACBIO_SMRT,NA,Citrus_sinensis,PRJNA1076522,Citrus_sinensis,27108652274,15662,15172,WGS,GENOMIC,Sequel II,Citrus sinensis,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,200000,0.1,onthq,30,NA,Citrus sinensis,233,233,done
Azolla_caroliniana-0,SRR31029405,NA,3,PACBIO_SMRT,NA,Azolla_caroliniana,PRJNA1174158,Azolla_caroliniana,30254222564,9167,14651,WGS,GENOMIC,Sequel,IIe Azolla caroliniana,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,200000,0.1,onthq,30,NA,IIe Azolla caroliniana,769,769,done
Glebionis_coronaria-0,SRR20302832,NA,3,PACBIO_SMRT,NA,Glebionis_coronaria,PRJNA851195,Glebionis_coronaria,35337982148,15423,25506,WGS,GENOMIC,Sequel II,Glebionis coronaria,1,10,dummy,0,viola,family,3000,TRUE,0:1000:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Glebionis coronaria,429,429,done
Populus_pruinosa-0,SRR20725215,NA,3,PACBIO_SMRT,NA,Populus_pruinosa,PRJNA863418,Populus_pruinosa,39514541115,14638,26519,WGS,GENOMIC,Sequel II,Populus pruinosa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Populus pruinosa,201,201,done
Ipomoea_aquatica-0,SRR15928285,NA,3,PACBIO_SMRT,NA,Ipomoea_aquatica,PRJNA764042,Ipomoea_aquatica,26024822802,18954,21707,WGS,GENOMIC,Sequel II,Ipomoea aquatica,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Ipomoea aquatica,247,247,done
Populus_trichocarpa-0,SRR23629790,NA,3,PACBIO_SMRT,NA,Populus_trichocarpa,PRJNA939189,Populus_trichocarpa,22260681602,15576,15225,WGS,GENOMIC,Sequel II,Populus trichocarpa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Populus trichocarpa,455,455,done
Erythranthe_laciniata-0,SRR30645747,NA,3,PACBIO_SMRT,NA,Erythranthe_laciniata,PRJNA1126724,Erythranthe_laciniata,30209203291,15172,18987,WGS,GENOMIC,Sequel,IIe Erythranthe laciniata,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Erythranthe laciniata,571,571,done
Quercus_berberidifolia-0,SRR23446236,NA,3,PACBIO_SMRT,NA,Quercus_berberidifolia,PRJNA934358,Quercus_berberidifolia,58887491571,13144,33985,WGA,GENOMIC,Sequel II,Quercus berberidifolia,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Quercus berberidifolia,919,919,done
Fagopyrum_esculentum-0,SRR23623554,NA,3,PACBIO_SMRT,NA,Fagopyrum_esculentum,PRJNA937607,Fagopyrum_esculentum,37054872004,10730,20697,WGS,GENOMIC,Sequel,Fagopyrum esculentum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Fagopyrum esculentum,447,447,done
Camelina_sativa-0,SRR25630013,NA,3,PACBIO_SMRT,NA,Camelina_sativa,PRJNA1005279,Camelina_sativa,42704250605,14517,28733,WGS,GENOMIC,Sequel II,Camelina sativa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Camelina sativa,703,703,done
Cichorium_intybus-0,SRR17817362,NA,3,PACBIO_SMRT,NA,Cichorium_intybus,PRJNA798105,Cichorium_intybus,35245789435,16449,27162,WGS,GENOMIC,Sequel II,Cichorium intybus,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Cichorium intybus,659,659,done
Morus_mongolica-0,SRR31188304,NA,3,PACBIO_SMRT,NA,Morus_mongolica,PRJNA1174893,Morus_mongolica,31096955435,15528,10897,WGS,GENOMIC,Sequel II,Morus mongolica,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Morus mongolica,643,643,done
Ocimum_basilicum-0,SRR29225542,NA,3,PACBIO_SMRT,NA,Ocimum_basilicum,PRJNA1006364,Ocimum_basilicum,85037122111,18631,61274,WGS,GENOMIC,Sequel II,Ocimum basilicum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Ocimum basilicum,775,775,done
Hevea_brasiliensis-0,SRR31189420,NA,3,PACBIO_SMRT,NA,Hevea_brasiliensis,PRJNA1180688,Hevea_brasiliensis,49624536071,18203,11958,WGS,GENOMIC,Sequel II,Hevea brasiliensis,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Hevea brasiliensis,747,747,done
Stephania_tetrandra-0,SRR31399516,NA,3,PACBIO_SMRT,NA,Stephania_tetrandra,PRJNA1183643,Stephania_tetrandra,63839253089,17149,39958,WGS,GENOMIC,Sequel,IIe Stephania tetrandra,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Stephania tetrandra,993,993,done
Malus_domestica-0,SRR17323561,NA,3,PACBIO_SMRT,NA,Malus_domestica,PRJNA791346,Malus_domestica,20988077913,14429,14514,WGS,GENOMIC,Sequel II,Malus domestica,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Malus domestica,143,143,done
Noccaea_caerulescens-0,SRR29288349,NA,3,PACBIO_SMRT,NA,Noccaea_caerulescens,PRJNA1096268,Noccaea_caerulescens,30386168421,14632,19249,WGS,GENOMIC,Sequel II,Noccaea caerulescens,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Noccaea caerulescens,453,453,done
Solanum_cheesmaniae-0,DRR623130,NA,3,PACBIO_SMRT,NA,Solanum_cheesmaniae,PRJDB19708,Solanum_cheesmaniae,26601038062,31265,23268,WGS,GENOMIC,Sequel II,Solanum cheesmaniae,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Solanum cheesmaniae,487,487,done
Linanthus_parryae-0,SRR19243433,NA,3,PACBIO_SMRT,NA,Linanthus_parryae,PRJNA834142,Linanthus_parryae,77191970805,16028,53802,WGS,GENOMIC,Sequel II,Linanthus parryae,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Linanthus parryae,119,119,done
Lactuca_sativa-0,SRR28019648,NA,3,PACBIO_SMRT,NA,Lactuca_sativa,PRJNA1077738,Lactuca_sativa,37683608237,18241,24168,WGS,GENOMIC,Sequel,IIe Lactuca sativa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,1.0,onthq,30,NA,IIe Lactuca sativa,955,955,done
Cyperus_esculentus-0,SRR22681821,NA,3,PACBIO_SMRT,NA,Cyperus_esculentus,PRJNA911152,Cyperus_esculentus,58234534033,18059,38337,WGS,GENOMIC,Sequel II,Cyperus esculentus,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Cyperus esculentus,329,329,done
Nemophila_menziesii-0,SRR25495905,NA,3,PACBIO_SMRT,NA,Nemophila_menziesii,PRJNA998867,Nemophila_menziesii,62003763403,13027,35607,WGS,GENOMIC,Sequel II,Nemophila menziesii,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Nemophila menziesii,829,829,done
Gleditsia_sinensis-0,SRR26069615,NA,3,PACBIO_SMRT,NA,Gleditsia_sinensis,PRJNA1005071,Gleditsia_sinensis,93665724188,18201,36589,WGS,GENOMIC,Sequel II,Gleditsia sinensis,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Gleditsia sinensis,985,985,done
Lithocarpus_litseifolius-0,SRR26961728,NA,3,PACBIO_SMRT,NA,Lithocarpus_litseifolius,PRJNA1045094,Lithocarpus_litseifolius,48118221895,13373,28231,WGS,GENOMIC,Sequel,IIe Lithocarpus litseifolius,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Lithocarpus litseifolius,669,669,done
Chenopodium_quinoa-0,ERR12071863,NA,3,PACBIO_SMRT,NA,Chenopodium_quinoa,PRJEB66274,Chenopodium_quinoa,32676941221,17146,21481,WGS,GENOMIC,Sequel II,Chenopodium quinoa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Chenopodium quinoa,213,213,done
Solanum_tuberosum-0,SRR16811227,NA,3,PACBIO_SMRT,NA,Solanum_tuberosum,PRJNA778192,Solanum_tuberosum,27335174158,18200,19221,WGS,GENOMIC,Sequel II,Solanum tuberosum,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Solanum tuberosum,535,535,done
Eschscholzia_californica-0,SRR30832750,NA,3,PACBIO_SMRT,NA,Eschscholzia_californica,PRJNA1159894,Eschscholzia_californica,27379927221,11722,16879,WGS,GENOMIC,Sequel,IIe Eschscholzia californica,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Eschscholzia californica,943,943,done
Neostapfia_colusana-0,SRR25693254,NA,3,PACBIO_SMRT,NA,Neostapfia_colusana,PRJNA1006776,Neostapfia_colusana,63182112718,12721,37668,WGS,GENOMIC,Sequel II,Neostapfia colusana,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Neostapfia colusana,639,639,done
Trifolium_repens-0,SRR24821883,NA,3,PACBIO_SMRT,NA,Trifolium_repens,PRJNA979795,Trifolium_repens,29313906123,13132,16082,WGS,GENOMIC,Sequel II,Trifolium repens,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Trifolium repens,953,953,done
Cynara_cardunculus-0,SRR31029523,NA,3,PACBIO_SMRT,NA,Cynara_cardunculus,PRJNA1174157,Cynara_cardunculus,76972287206,12308,46039,WGS,GENOMIC,Sequel,IIe Cynara cardunculus,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Cynara cardunculus,475,475,done
Smallanthus_sonchifolius-0,SRR18215736,NA,3,PACBIO_SMRT,NA,Smallanthus_sonchifolius,PRJNA798108,Smallanthus_sonchifolius,30595086509,16129,23256,WGS,GENOMIC,Sequel II,Smallanthus sonchifolius,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Smallanthus sonchifolius,789,789,done
Dillenia_suffruticosa-0,SRR26199839,NA,3,PACBIO_SMRT,NA,Dillenia_suffruticosa,PRJNA1020456,Dillenia_suffruticosa,34211103300,19457,24741,WGS,GENOMIC,Sequel II,Dillenia suffruticosa,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Dillenia suffruticosa,389,389,done
Heteromeles_arbutifolia-0,SRR20721975,NA,3,PACBIO_SMRT,NA,Heteromeles_arbutifolia,PRJNA863888,Heteromeles_arbutifolia,32733141214,14090,19514,WGS,GENOMIC,Sequel II,Heteromeles arbutifolia,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Heteromeles arbutifolia,395,395,done
Phyllospadix_torreyi-0,SRR31187416,NA,3,PACBIO_SMRT,NA,Phyllospadix_torreyi,PRJNA1178673,Phyllospadix_torreyi,34486879190,14294,21763,WGS,GENOMIC,Sequel,IIe Phyllospadix torreyi,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Phyllospadix torreyi,421,421,done
Lupinus_luteus-0,SRR28343111,NA,3,PACBIO_SMRT,NA,Lupinus_luteus,PRJNA1087712,Lupinus_luteus,87338179745,17856,32120,WGS,GENOMIC,Sequel II,Lupinus luteus,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Lupinus luteus,843,843,done
Fragaria_chiloensis-0,SRR18479000,NA,3,PACBIO_SMRT,NA,Fragaria_chiloensis,PRJNA812950,Fragaria_chiloensis,17868336647,9349,10017,WGS,GENOMIC,Sequel II,Fragaria chiloensis,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Fragaria chiloensis,365,365,done
Thalia_dealbata-0,SRR23719356,NA,3,PACBIO_SMRT,NA,Thalia_dealbata,PRJNA941156,Thalia_dealbata,23744928070,17300,14499,WGS,GENOMIC,Sequel II,Thalia dealbata,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Thalia dealbata,801,801,done
Quercus_glauca-0,SRR20997958,NA,3,PACBIO_SMRT,NA,Quercus_glauca,PRJNA868092,Quercus_glauca,33035123466,24522,29165,WGS,GENOMIC,Sequel,Quercus glauca,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Quercus glauca,391,391,done
Oryza_coarctata-0,SRR28024369,NA,3,PACBIO_SMRT,NA,Oryza_coarctata,PRJNA439330,Oryza_coarctata,29295780617,19814,21264,WGS,GENOMIC,Sequel,IIe Oryza coarctata,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Oryza coarctata,439,439,done
Triticum_timopheevii-0,ERR12409316,NA,3,PACBIO_SMRT,NA,Triticum_timopheevii,PRJEB71660,Triticum_timopheevii,35716109179,18202,26598,WGS,GENOMIC,Sequel II,Triticum timopheevii,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Triticum timopheevii,637,637,done
Chionographis_japonica-0,ERR10639471,NA,3,PACBIO_SMRT,NA,Chionographis_japonica,PRJEB58125,Chionographis_japonica,20063410795,14272,13254,WGS,GENOMIC,Sequel II,Chionographis japonica,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Chionographis japonica,713,713,done
Aegilops_umbellulata-0,ERR11517592,NA,3,PACBIO_SMRT,NA,Aegilops_umbellulata,PRJEB62719,Aegilops_umbellulata,34749641469,16397,13791,WGS,GENOMIC,Sequel II,Aegilops umbellulata,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,umap,manual,160000,0.1,onthq,30,NA,Aegilops umbellulata,895,895,done
Campeiostachys_kamoji-0,SRR32962519,NA,3,PACBIO_SMRT,NA,Campeiostachys_kamoji,PRJNA1235489,Campeiostachys_kamoji,41686648639,19729,29412,WGS,GENOMIC,Sequel II,Campeiostachys kamoji,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,Campeiostachys kamoji,147,147,done
Urochloa_decumbens-0,ERR12916402,NA,3,PACBIO_SMRT,NA,Urochloa_decumbens,PRJEB73762,Urochloa_decumbens,28594163913,18449,20566,WGS,GENOMIC,Sequel,IIe Urochloa decumbens,1,10,dummy,0,viola,family,3000,TRUE,1:1:1,0.1:1:10,3000:6000:2,pca,manual,160000,0.1,onthq,30,NA,IIe Urochloa decumbens,841,841,done
